sku,price,fully_qualified_name,active,for_sale,product_type,incremental_order_quantity,pack_size,pack_size_qty,weight,weight_units
NB-RSTR-SUBSCR-MAY20,0,"Nut Butter, Subscriptions:RSTR-MAY20",True,True,inventory_assembly,1,13 oz jar,,1.15,lb
NB-ABJ-SUBSCR-MAY20,0,"Nut Butter, Subscriptions:ABJ-MAY20-SUBSCR",True,True,inventory_assembly,1,2pack / 13oz jar,,2.14,lb
NB-PBJ-SUBSCR-MAY20,0,"Nut Butter, Subscriptions:PBJ-MAY20-SUBSCR",True,True,inventory_assembly,1,2pack / 13oz jar,,2.14,
NB-RSTR-SUBSCR-APR20,0,"Nut Butter, Subscriptions:RSTR-APR20",True,True,inventory_assembly,1,13 oz jar,,1.15,
NB-CASH-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-CASH",True,True,inventory_assembly,1,13 oz Jar,,0,
NB-MAMBA-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-MAMBA",True,True,inventory_assembly,1,13 oz Jar,,0,
NB-MPC-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-MPC",True,True,inventory_assembly,1,13 oz Jar,,0,
NB-TCO-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-TCO",True,True,inventory_assembly,1,13 oz Jar,,17,oz
NB-FGIN-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-FGIN",True,True,inventory_assembly,1,13 oz Jar,,0,
NB-CSS-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-CSS",True,True,inventory_assembly,1,13 oz Jar,,0,
NB-ALM-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-ALM",True,True,inventory_assembly,1,13 oz Jar,,17,oz
NB-GGET-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-GGET",True,True,inventory_assembly,1,13 oz Jar,,0,
NB-CHAI-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-CHAI",True,True,inventory_assembly,1,13 oz Jar,,0,
NB-PPEC-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-PPEC",True,True,inventory_assembly,1,13 oz Jar,,0,
NB-PNUT-13OZ-SAMPLE,0,"Nut Butter, 13 oz Single Jar Sample:Peanut Butter",True,True,inventory_assembly,1,,,1.38,lb
NB-MPC-13OZ-SAMPLE,0,"Nut Butter, 13 oz Single Jar Sample:Maple Cinnamon",True,True,inventory_assembly,1,,,1.38,lb
NB-MAMBA-13OZ-SAMPLE,0,"Nut Butter, 13 oz Single Jar Sample:Hot Mamba",True,True,inventory_assembly,1,,,1.38,lb
NB-GGET-13OZ-SAMPLE,0,"Nut Butter, 13 oz Single Jar Sample:GGet Espresso",True,True,inventory_assembly,1,,,1.38,lb
BAR-BUTTER-GALM,0,Bar Butters:Ginger Almond,True,True,inventory_assembly,1,,,0,
BAR-BUTTER-PCASH,0,Bar Butters:Peanut Cashew,True,True,inventory_assembly,1,,,0,
BAR-BUTTER-PALM,0,Bar Butters:Peanut Almond,True,True,inventory_assembly,1,,,0,
NB-WAG-TRANS-JAR,0,"Nut Butter, Transition Jar Packaging & Labels:Wag Butter",True,True,inventory_assembly,1,,,0,
BAR-BUTTER-PPEC,0,Bar Butters:Peanut Pec(less),True,True,inventory_assembly,1,,,0,
BAR-BUTTER,0,Bar Butters,True,True,inventory_assembly,1,,,0,
NB-PALM-10OZ,0,Peanut Almond:10 oz Jar,True,True,inventory_assembly,1,,,0,
NB-PALM,0,Peanut Almond,True,True,inventory_assembly,1,,,0,
NB-3OZ-4PACK-AB,0,"Nut Butter, Variety Pack 3oz:AB-3OZ-4PACK",True,True,inventory_assembly,1,4/3oz Jars,,5,
NB-3OZ-4PACK,5.1,"Nut Butter, Variety Pack 3oz:3OZ-4PACK",True,True,inventory_assembly,1,4/3oz Jars,,5,lb
NB-3OZ-VP,0,"Nut Butter, Variety Pack 3oz",True,True,inventory_assembly,1,4/3oz Jars,,0,
NB-TRIO-SS20,0,"Nut Butter, 3-Pack 13 oz:TRIO-SS20",True,True,inventory_assembly,1,3/13oz Pack,,5,
NB-130Z-3PACK,0,"Nut Butter, 3-Pack 13 oz",True,True,inventory_assembly,1,3/13oz Pack,,0,
NB-PBJ-JUN20,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-JUN20",True,True,inventory_assembly,1,2/13oz Pack,,2.5,
NB-PBJ-MAY20,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-MAY20",True,True,inventory_assembly,1,2/13oz Pack,,2.5,lb
NB-PBJ-2PACK,0,"Nut Butter, PB&J 2-Pack 13 oz Jar",True,True,inventory_assembly,1,2/13oz Pack,,0,
NB-ABJ-JUN20,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-JUN20",True,True,inventory_assembly,1,2/13oz Pack,,2.5,
BAR-DRYKIT,0,Bar Dry Kits,True,True,inventory_assembly,1,,,0,
NB-ALM-13OZ-1PACK-GIFT,0,"Nut Butter, 13 oz Single Jar Gift Pack:Almond Butter",True,True,inventory_assembly,1,1/13oz Pack,,2,
BAR-DRYKIT-AP,0,Bar Dry Kits:AP,True,True,inventory_assembly,1,,,0,
